lga,district_area,postalcode,town
Akinyele,Ijaye,200137,Idi-Aayan
Akinyele,Ijaye,200137,Ijaye Ajeja
Akinyele,Ijaye,200137,Iware
Akinyele,Ijaye,200137,Lalare
Akinyele,Ijaye,200137,Odunewu
Akinyele,Ijaye,200137,Ojedeji
Akinyele,Ijaye,200137,Olonitutu
Akinyele,Ijaye,200137,Saanu
Akinyele,Ijaye,200137,Sangobon
Akinyele,Ijaye,200137,Tola larumo
Akinyele,Ikereku,200139,Agbagi
Akinyele,Ikereku,200139,Alade
Akinyele,Ikereku,200139,Alasoosun
Akinyele,Ikereku,200139,Atapa
Akinyele,Ikereku,200139,Ayepola
Akinyele,Ikereku,200139,Ekefa
Akinyele,Ikereku,200139,Eleepo
Akinyele,Ikereku,200139,Ogbogbologun
Akinyele,Ikereku,200139,Folarin
Akinyele,Ikereku,200139,Oloya
Akinyele,Ikereku,200139,Agoro-Ibadan
Akinyele,Ikereku,200139,Faleye
Akinyele,Ikereku,200139,Idiapa
Akinyele,Ikereku,200139,Ikereku
Akinyele,Ikereku,200139,Ileyioku
Akinyele,Ikereku,200139,Labode
Akinyele,Ikereku,200139,Morowonaa
Akinyele,Ikereku,200139,Obada
Akinyele,Ikereku,200139,Ogbongan
Akinyele,Ikereku,200139,Ogunjinmi
Akinyele,Ikereku,200139,Ogunjinmi Egan
Akinyele,Ikereku,200139,Olanla
Akinyele,Ikereku,200139,Olunlosin
Akinyele,Ikereku,200139,Onikarahun
Akinyele,Ikereku,200139,Osayindeyi
Akinyele,Ikereku,200139,Oyada
Akinyele,Iroko,200140,Akinwumi
Akinyele,Iroko,200140,Arikanki
Akinyele,Iroko,200140,Fakore
Akinyele,Iroko,200140,Igbagbo
Akinyele,Iroko,200140,Iroko
Akinyele,Iroko,200140,Motunde
Akinyele,Iroko,200140,Olowogbo
Akinyele,Iroko,200140,Onisigun
Akinyele,Iroko,200140,Oretu
Akinyele,Iroko,200140,Taiwo
Akinyele,Moniya,200132,Adeosun
Akinyele,Moniya,200132,Ajibode
Akinyele,Moniya,200132,Akobo
Akinyele,Moniya,200132,Apapa
Akinyele,Moniya,200132,Ògo
Akinyele,Moniya,200132,Dabiri
Akinyele,Moniya,200132,Idi Ose
Akinyele,Moniya,200132,Idi-Iroko
Akinyele,Moniya,200132,Kajorepo
Akinyele,Moniya,200132,Kakun
Akinyele,Moniya,200132,Lanibe
Akinyele,Moniya,200132,Mokankan
Akinyele,Moniya,200132,Moniya
Akinyele,Moniya,200132,Alade
Akinyele,Moniya,200132,Odogbo
Akinyele,Moniya,200132,Ojoo
Akinyele,Moniya,200132,Okeona
Akinyele,Moniya,200132,Olomo
Akinyele,Moniya,200132,Olugbode
Akinyele,Moniya,200132,Onilabu
Akinyele,Moniya,200132,Orogun
Akinyele,Moniya,200132,Oyatola
Akinyele,Moniya,200132,Sada
Akinyele,Moniya,200132,Sasa
Akinyele,Olode / Onidundu,200138,Abatan
Akinyele,Olode / Onidundu,200138,Adeogun
Akinyele,Olode / Onidundu,200138,Adifa
Akinyele,Olode / Onidundu,200138,Amosun
Akinyele,Olode / Onidundu,200138,Asania
Akinyele,Olode / Onidundu,200138,Idi Ori
Akinyele,Olode / Onidundu,200138,Ileba
Akinyele,Olode / Onidundu,200138,Ojerinde
Akinyele,Olode / Onidundu,200138,Olode
Akinyele,Olode / Onidundu,200138,Onidundu
Akinyele,Olode / Onidundu,200138,Onigbongbo
Akinyele,Olode / Onidundu,200138,Salako
Akinyele,Olode / Onidundu,200138,Togiri
Akinyele,Olode / Onidundu,200138,Aba Osa
Akinyele,Olode / Onidundu,200138,Talotan
Akinyele,Olode / Onidundu,200138,Ayun
Akinyele,Olode / Onidundu,200138,Sokinloju
Akinyele,Olode / Onidundu,200138,Ojotegiri
Akinyele,Olode / Onidundu,200138,Ayunhun
Akinyele,Olode / Onidundu,200138,Apapa Odan
Akinyele,Olode / Onidundu,200138,Iya Ofa
Akinyele,Olode / Onidundu,200138,Baba Mogba
Akinyele,Olode / Onidundu,200138,Akande
Akinyele,Olode / Onidundu,200138,Idi Oro
Akinyele,Olode / Onidundu,200138,Ogungbe
Akinyele,Olode / Onidundu,200138,Eke Ola
Akinyele,Olode / Onidundu,200138,Onikange
Akinyele,Olode / Onidundu,200138,Bantuu
Akinyele,Olode / Onidundu,200138,Paade
Akinyele,Olode / Onidundu,200138,Olanla
Akinyele,Olode / Onidundu,200138,Obodaa
Akinyele,Olode / Onidundu,200138,Asipa
Akinyele,Olorisakoko/Mele,200133,Anisere
Akinyele,Olorisakoko/Mele,200133,Asani
Akinyele,Olorisakoko/Mele,200133,Ejitolu
Akinyele,Olorisakoko/Mele,200133,Elewintan
Akinyele,Olorisakoko/Mele,200133,Folarin
Akinyele,Olorisakoko/Mele,200133,Idi-Odan
Akinyele,Olorisakoko/Mele,200133,Mele
Akinyele,Olorisakoko/Mele,200133,Molarere
Akinyele,Olorisakoko/Mele,200133,Okegbemi
Akinyele,Olorisakoko/Mele,200133,Olorisaoko
Akinyele,Olorisakoko/Mele,200133,Oyodo
Atiba,Atiba,211108,Aaatan
Atiba,Atiba,211108,Abolupe
Atiba,Atiba,211108,Afonja
Atiba,Atiba,211108,Agbaa
Atiba,Atiba,211108,Agbaakin
Atiba,Atiba,211108,Agbaka
Atiba,Atiba,211108,Agbalowo-Asa
Atiba,Atiba,211108,Agberinde
Atiba,Atiba,211108,Agunpopo
Atiba,Atiba,211108,Ajalaruru
Atiba,Atiba,211108,Ajegunle
Atiba,Atiba,211108,Ajikobi
Atiba,Atiba,211108,Akaparo
Atiba,Atiba,211108,Akinku
Atiba,Atiba,211108,Alaafin Palace
Atiba,Atiba,211108,Alubata
Atiba,Atiba,211108,Alusekere
Atiba,Atiba,211108,Are-Eromasanyin
Atiba,Atiba,211108,Aremo Area
Atiba,Atiba,211108,Asanminu
Atiba,Atiba,211108,Ashamu
Atiba,Atiba,211108,Ashipa
Atiba,Atiba,211108,Ayetoro
Atiba,Atiba,211108,Baago
Atiba,Atiba,211108,Balogun Maje
Atiba,Atiba,211108,Bangudu
Atiba,Atiba,211108,Basorun
Atiba,Atiba,211108,Ekesan
Atiba,Atiba,211108,Eleke
Atiba,Atiba,211108,Elerinle
Atiba,Atiba,211108,Elewi
Atiba,Atiba,211108,Gaa Bale Fulani
Atiba,Atiba,211108,Gbangba Taylor
Atiba,Atiba,211108,Gbanta
Atiba,Atiba,211108,Ijawaya
Atiba,Atiba,211108,Ikolaba
Atiba,Atiba,211108,Ile-Ewe
Atiba,Atiba,211108,Ilowagbade
Atiba,Atiba,211108,Ilusinmi
Atiba,Atiba,211108,Iyalamu
Atiba,Atiba,211108,Jowo Ese
Atiba,Atiba,211108,Keeto
Atiba,Atiba,211108,Koloko
Atiba,Atiba,211108,Koso
Atiba,Atiba,211108,Lagbondoko Area
Atiba,Atiba,211108,Latula
Atiba,Atiba,211108,Obagbori
Atiba,Atiba,211108,Ode Moje
Atiba,Atiba,211108,Ofa-Meta
Atiba,Atiba,211108,Ogbegbe
Atiba,Atiba,211108,Oke Oloola Area
Atiba,Atiba,211108,Oke-Afin Area
Atiba,Atiba,211108,Olokun Esin
Atiba,Atiba,211108,Olugbile
Atiba,Atiba,211108,Ona-Aka
Atiba,Atiba,211108,Onireko
Atiba,Atiba,211108,Onre Bare
Atiba,Atiba,211108,Oota
Atiba,Atiba,211108,Oridota
Atiba,Atiba,211108,Origbemidele
Atiba,Atiba,211108,Orokoroko
Atiba,Atiba,211108,Otefon
Atiba,Atiba,211108,Saakin
Atiba,Atiba,211108,Saamu
Atiba,Atiba,211108,Sabo
Atiba,Atiba,211108,Sangolokeke
Atiba,Atiba,211108,Sarumi
Atiba,Atiba,211108,St. Andrews Area
Atiba,Atiba,211108,Tak
Atisbo,Ago-Are/ Owo,203105,Ago Are
Atisbo,Ago-Are/ Owo,203105,Agunrege
Atisbo,Ago-Are/ Owo,203105,Alaga
Atisbo,Ago-Are/ Owo,203105,Bashi Owo
Atisbo,Ago-Are/ Owo,203105,Corner Owo
Atisbo,Ago-Are/ Owo,203105,Ito
Atisbo,Ago-Are/ Owo,203105,Sabe
Atisbo,Aha/Tede,203104,Aha
Atisbo,Aha/Tede,203104,Tede
Atisbo,Irawo / Ofiki,203106,Irawo
Atisbo,Irawo / Ofiki,203106,Irawo Ile
Atisbo,Irawo / Ofiki,203106,Irawotedo
Atisbo,Irawo / Ofiki,203106,Kajewole
Atisbo,Irawo / Ofiki,203106,Ofiki
Atisbo,Irawo / Ofiki,203106,Owode
Egbeda,Ayede /Alugbo,200114,Adeyadi
Egbeda,Ayede /Alugbo,200114,Alagbo
Egbeda,Ayede /Alugbo,200114,Ayede
Egbeda,Ayede /Alugbo,200114,Buramo
Egbeda,Ayede /Alugbo,200114,Fatade
Egbeda,Ayede /Alugbo,200114,Fayo
Egbeda,Ayede /Alugbo,200114,Koloko
Egbeda,Egbeda,200109,Abepe
Egbeda,Egbeda,200109,Adegbayi
Egbeda,Egbeda,200109,Adekola
Egbeda,Egbeda,200109,Adelabu
Egbeda,Egbeda,200109,Adogba
Egbeda,Egbeda,200109,Agbowo Village
Egbeda,Egbeda,200109,Agoro
Egbeda,Egbeda,200109,Ajia
Egbeda,Egbeda,200109,Ajule-Alagbaa
Egbeda,Egbeda,200109,Alakia
Egbeda,Egbeda,200109,Alarere
Egbeda,Egbeda,200109,Alarobo
Egbeda,Egbeda,200109,Apete
Egbeda,Egbeda,200109,Apoku
Egbeda,Egbeda,200109,Arolu
Egbeda,Egbeda,200109,Asaju
Egbeda,Egbeda,200109,Ayepe
Egbeda,Egbeda,200109,Bole Village
Egbeda,Egbeda,200109,Egbalekan
Egbeda,Egbeda,200109,Egbeda
Egbeda,Egbeda,200109,Idi-Mango
Egbeda,Egbeda,200109,Jagun
Egbeda,Egbeda,200109,Koroboto
Egbeda,Egbeda,200109,Lamuregun
Egbeda,Egbeda,200109,Mapo-Egbeda
Egbeda,Egbeda,200109,Molade Ayedaade
Egbeda,Egbeda,200109,Mosafejo
Egbeda,Egbeda,200109,New Gbagi
Egbeda,Egbeda,200109,Nigeria Breweries
Egbeda,Egbeda,200109,Olo
Egbeda,Egbeda,200109,Olodi
Egbeda,Egbeda,200109,Olopo Metta
Egbeda,Egbeda,200109,Olorisaoko
Egbeda,Egbeda,200109,Olowo
Egbeda,Egbeda,200109,Oloya
Egbeda,Egbeda,200109,Olubadan Estate
Egbeda,Egbeda,200109,Olugbojo
Egbeda,Egbeda,200109,Onipepeye
Egbeda,Egbeda,200109,Onisade
Egbeda,Egbeda,200109,Oremeji
Egbeda,Egbeda,200109,Reji Sekere
Egbeda,Egbeda,200109,Sawmill
Egbeda,Egbeda,200109,Tanmo
Egbeda,Erunmu,200113,Adeleye
Egbeda,Erunmu,200113,Arije
Egbeda,Erunmu,200113,Afinti
Egbeda,Erunmu,200113,Ajia
Egbeda,Erunmu,200113,Ajiwogbo
Egbeda,Erunmu,200113,Akinlomo
Egbeda,Erunmu,200113,Aloba
Egbeda,Erunmu,200113,Ataari
Egbeda,Erunmu,200113,Gberinmi
Egbeda,Erunmu,200113,Jooda
Egbeda,Erunmu,200113,Kolayan
Egbeda,Erunmu,200113,Moje
Egbeda,Erunmu,200113,Olodan
Egbeda,Erunmu,200113,Olokeke
Egbeda,Erunmu,200113,Oloro
Egbeda,Erunmu,200113,Olosun
Egbeda,Erunmu,200113,Onibata
Egbeda,Erunmu,200113,Pagun
Egbeda,Erunmu,200113,Solowojaiye
Egbeda,Olodo / Kumapayi,200111,Aba Igbo
Egbeda,Olodo / Kumapayi,200111,Ajo
Egbeda,Olodo / Kumapayi,200111,Akinluwo
Egbeda,Olodo / Kumapayi,200111,Akorede
Egbeda,Olodo / Kumapayi,200111,Aloko
Egbeda,Olodo / Kumapayi,200111,Egbe
Egbeda,Olodo / Kumapayi,200111,Elesan
Egbeda,Olodo / Kumapayi,200111,Gbenku
Egbeda,Olodo / Kumapayi,200111,Idi Osan
Egbeda,Olodo / Kumapayi,200111,Jeriyin
Egbeda,Olodo / Kumapayi,200111,Koloko
Egbeda,Olodo / Kumapayi,200111,Kumapayi
Egbeda,Olodo / Kumapayi,200111,Maje
Egbeda,Olodo / Kumapayi,200111,Odan
Egbeda,Olodo / Kumapayi,200111,Ogaala
Egbeda,Olodo / Kumapayi,200111,Ogan-Ango
Egbeda,Olodo / Kumapayi,200111,Ojujinle
Egbeda,Olodo / Kumapayi,200111,Ojuolape
Egbeda,Olodo / Kumapayi,200111,Oki
Egbeda,Olodo / Kumapayi,200111,Oko
Egbeda,Olodo / Kumapayi,200111,Oko-Omi
Egbeda,Olodo / Kumapayi,200111,Olodo
Egbeda,Olodo / Kumapayi,200111,Olukunle
Egbeda,Olodo / Kumapayi,200111,Wakajaiye
Egbeda,Olodo / Kumapayi,200111,Wofun
Egbeda,Osegere,200110,Awaye
Egbeda,Osegere,200110,Awowo
Egbeda,Osegere,200110,Erinmi
Egbeda,Osegere,200110,Idogo
Egbeda,Osegere,200110,Ilaro I & II
Egbeda,Osegere,200110,Olumakun
Egbeda,Osegere,200110,Osegere
Egbeda,Owobaale / Kasumu,200112,Alagbede
Egbeda,Owobaale / Kasumu,200112,Alaikola
Egbeda,Owobaale / Kasumu,200112,Apaso
Egbeda,Owobaale / Kasumu,200112,Apoku
Egbeda,Owobaale / Kasumu,200112,Efunwole
Egbeda,Owobaale / Kasumu,200112,Gidigidi
Egbeda,Owobaale / Kasumu,200112,Ibiti
Egbeda,Owobaale / Kasumu,200112,Kasumu
Egbeda,Owobaale / Kasumu,200112,Odode
Egbeda,Owobaale / Kasumu,200112,"Ore I,"
Egbeda,Owobaale / Kasumu,200112,Ore II
Egbeda,Owobaale / Kasumu,200112,Owebaale
Egbeda,Owobaale / Kasumu,200112,Yati
Ibadan-North,Bodija,200221,Agbo Compound
Ibadan-North,Bodija,200221,Ayoola Compound I
Ibadan-North,Bodija,200221,Ayoola Compound II
Ibadan-North,Bodija,200221,Galaxy T. V. I
Ibadan-North,Bodija,200221,Galaxy T. V. II
Ibadan-North,Bodija,200221,I. M. G. Court
Ibadan-North,Bodija,200221,"Islamic Mission School, Odoye I"
Ibadan-North,Bodija,200221,"Islamic Mission School, Odoye II"
Ibadan-North,Bodija,200221,Lawore Compound
Ibadan-North,Bodija,200221,Opposite National Petrol Isale-Alfa
Ibadan-North,Bodija,200221,St. Mary School
Ibadan-North,Bodija,200221,"Unipetrol, Isale Alfa I"
Ibadan-North,Bodija,200221,"Unipetrol, Isale Alfa II"
Ibadan-North,Bodija,200221,Afiku Compound
Ibadan-North,Bodija,200221,Apostolic Primary School
Ibadan-North,Bodija,200221,Ayegun Mosque
Ibadan-North,Bodija,200221,Bola Street
Ibadan-North,Bodija,200221,Bolanta Sapati I
Ibadan-North,Bodija,200221,Bolanta Sapati II
Ibadan-North,Bodija,200221,Ebenezer Primary School
Ibadan-North,Bodija,200221,"I. M. G. School, Nalende"
Ibadan-North,Bodija,200221,Inalende Market
Ibadan-North,Bodija,200221,Ire Akari
Ibadan-North,Bodija,200221,Jodat
Ibadan-North,Bodija,200221,Nalende Mosque
Ibadan-North,Bodija,200221,Nawar-Deen School
Ibadan-North,Bodija,200221,Ode Olo
Ibadan-North,Bodija,200221,Ojo-Oniro Compound
Ibadan-North,Bodija,200221,Oke-Oloro
Ibadan-North,Bodija,200221,Opoyeosa Oniyanrin Junction
Ibadan-North,Bodija,200221,Opposite Nalende Mosque
Ibadan-North,Bodija,200221,Opposite Nitel Oniyanrin
Ibadan-North,Bodija,200221,St. John Primary School
Ibadan-North,Bodija,200221,St. Peter School
Ibadan-North,Bodija,200221,St. Stephen School. I
Ibadan-North,Bodija,200221,St. Stephen School II
Ibadan-North,Bodija,200221,St. Stephen School III
Ibadan-North,Bodija,200221,In Front Of Borokini House
Ibadan-North,Bodija,200221,Elelede Compound
Ibadan-North,Bodija,200221,Opposite Former Tribune
Ibadan-North,Bodija,200221,Agip Petrol Station
Ibadan-North,Bodija,200221,Salem Baptist Church
Ibadan-North,Bodija,200221,Yemetu Police Station
Ibadan-North,Bodija,200221,"Salvation Army School, Yemetu"
Ibadan-North,Bodija,200221,Baptist School Oritamefa
Ibadan-North,Bodija,200221,"Medico Area, Agbada Gbudu"
Ibadan-North,Bodija,200221,"I. M. G. N4, Yemetu"
Ibadan-North,Bodija,200221,Yemetu Oje I
Ibadan-North,Bodija,200221,Yemetu Oje II
Ibadan-North,Bodija,200221,Adabale
Ibadan-North,Bodija,200221,Kanbi House
Ibadan-North,Bodija,200221,"Licensing Office, Yemetu"
Ibadan-North,Bodija,200221,Alawada Yemetu
Ibadan-North,Bodija,200221,"St. Michael School, Yemetu"
Ibadan-North,Bodija,200221,"Aladorin Junction, Yemetu I"
Ibadan-North,Bodija,200221,"Aladorin Junction, Yemetu II"
Ibadan-North,Bodija,200221,Beside Agala Forest
Ibadan-North,Bodija,200221,Oke Aremo Eruku I
Ibadan-North,Bodija,200221,Oke Aremo Eruku II
Ibadan-North,Bodija,200221,Biro Oke Are I
Ibadan-North,Bodija,200221,Biro Oke Are II
Ibadan-North,Bodija,200221,Akabiako
Ibadan-North,Bodija,200221,Oluwo Compound
Ibadan-North,Bodija,200221,"St. Paul School, Oke Are I"
Ibadan-North,Bodija,200221,"St. Paul School, Oke Are II"
Ibadan-North,Bodija,200221,Petrol Station Oje
Ibadan-North,Bodija,200221,Opposite Zion Chemist
Ibadan-North,Bodija,200221,Adeoyo Maternity
Ibadan-North,Bodija,200221,Olubadan Aminu
Ibadan-North,Bodija,200221,Medico Junction
Ibadan-North,Bodija,200221,Isale Alfa Adeoyo
Ibadan-North,Bodija,200221,Temidire Fish Depot
Ibadan-North,Bodija,200221,Mobil Petrol Station/Oke Are Road Yemetu
Ibadan-North,Bodija,200221,Ile Eja Temidire
Ibadan-North,Bodija,200221,Yemetu Oja
Ibadan-North,Bodija,200221,"Sanni Street, Idi-Tap"
Ibadan-North,Bodija,200221,"Sani Street, Idi-Omo"
Ibadan-North,Bodija,200221,Aya Jamogiri
Ibadan-North,Bodija,200221,Oke Compound
Ibadan-North,Bodija,200221,"Licensing Office, Igosun"
Ibadan-North,Bodija,200221,Methodist Primary School N5(Nta) I
Ibadan-North,Bodija,200221,Methodist Primary School N5(Nta) II
Ibadan-North,Bodija,200221,"Salvation Army School, Kube"
Ibadan-North,Bodija,200221,Odo Alagbafo I
Ibadan-North,Bodija,200221,Odo Alagbafo II
Ibadan-North,Bodija,200221,Slaughter Slab
Ibadan-North,Bodija,200221,St. John Primary School
Ibadan-North,Bodija,200221,Owotutu House
Ibadan-North,Bodija,200221,Opposite Ali-Iwo Compound
Ibadan-North,Bodija,200221,Local Government Dispensary Agodi
Ibadan-North,Bodija,200221,C. A. C. Igosun I
Ibadan-North,Bodija,200221,C. A. C. Igosun II
Ibadan-North,Bodija,200221,Omikunle Compound
Ibadan-North,Bodija,200221,Otun Compound
Ibadan-North,Bodija,200221,I. M. G. Igosun
Ibadan-North,Bodija,200221,Idi-Omo Mosque
Ibadan-North,Bodija,200221,"Idi-Omo Road, Itutaba"
Ibadan-North,Bodija,200221,"Idi-Omo, Itutaba"
Ibadan-North,Bodija,200221,"Jagunmolu, Itutaba"
Ibadan-North,Bodija,200221,"Akintoye Street, Itutaba"
Ibadan-North,Bodija,200221,"Ajibodu Street, Itutaba I"
Ibadan-North,Bodija,200221,Ajibodu Road/Irefin Junction
Ibadan-North,Bodija,200221,"Ajibodu Road, Itutaba"
Ibadan-North,Bodija,200221,"Ajibodu Street, Itutaba II"
Ibadan-North,Bodija,200221,"Ikolaba Grammar School,"
Ibadan-North,Bodija,200221,Ikolaba High School
Ibadan-North,Bodija,200221,Post Office Agodi Gate
Ibadan-North,Bodija,200221,"Federal Housing, Ikolaba"
Ibadan-North,Bodija,200221,Bibilari Shopping Complex
